graph,parallel_real_s_median,optim_greedy_real_s_median,parallel_colors_used,optim_greedy_colors_used,speedup,parallel_efficiency
DSJC125.1,0.007700,0.002467,9.000000,7.000000,0.320390,0.010012
DSJC125.5,0.016767,0.003033,26.000000,23.000000,0.180891,0.005653
DSJC125.9,0.025800,0.003567,56.000000,53.000000,0.138256,0.004320
easy-01,0.004800,0.002233,2.000000,2.000000,0.465208,0.014538
easy-02,0.004967,0.002300,2.000000,2.000000,0.463056,0.014471
easy-03,0.005000,0.002300,3.000000,3.000000,0.460000,0.014375
easy-04,0.005067,0.002333,4.000000,4.000000,0.460430,0.014388
easy-05,0.005167,0.002233,3.000000,3.000000,0.432166,0.013505
easy-06,0.004933,0.002333,2.000000,3.000000,0.472937,0.014779
ex-01,0.005067,0.002333,3.000000,2.000000,0.460430,0.014388
fpsol2.i.1,0.035833,0.004567,65.000000,65.000000,0.127452,0.003983
homer,0.011367,0.003100,15.000000,13.000000,0.272719,0.008522
inithx.i.1,0.035800,0.005933,54.000000,54.000000,0.165726,0.005179
latin_square_10,0.177300,0.054933,153.000000,213.000000,0.309831,0.009682
le450_15b,0.019100,0.004067,22.000000,18.000000,0.212932,0.006654
le450_15c,0.027967,0.006067,32.000000,26.000000,0.216934,0.006779
queen16_16,0.020400,0.004900,22.000000,27.000000,0.240196,0.007506
queen8_12,0.011533,0.002933,15.000000,15.000000,0.254314,0.007947
