graph,parallel_real_s_median,optim_greedy_real_s_median,parallel_colors_used,optim_greedy_colors_used,speedup,parallel_efficiency
DSJC125.1,0.005550,0.005450,8.000000,8.000000,0.981982,0.061374
DSJC125.5,0.010600,0.010550,25.000000,28.000000,0.995283,0.062205
DSJC125.9,0.016000,0.015750,57.000000,55.000000,0.984375,0.061523
easy-01,0.004000,0.004100,2.000000,2.000000,1.025000,0.064062
easy-02,0.003900,0.003900,3.000000,3.000000,1.000000,0.062500
easy-03,0.004050,0.004000,3.000000,3.000000,0.987654,0.061728
easy-04,0.004050,0.004050,4.000000,4.000000,1.000000,0.062500
easy-05,0.004050,0.004250,3.000000,3.000000,1.049383,0.065586
easy-06,0.004050,0.003950,3.000000,2.000000,0.975309,0.060957
ex-01,0.003900,0.004000,3.000000,2.000000,1.025641,0.064103
fpsol2.i.1,0.018850,0.018900,65.000000,65.000000,1.002653,0.062666
homer,0.007500,0.007450,16.000000,15.000000,0.993333,0.062083
inithx.i.1,0.018400,0.018500,54.000000,55.000000,1.005435,0.062840
latin_square_10,0.160800,0.161450,149.000000,158.000000,1.004042,0.062753
le450_15b,0.012250,0.012300,23.000000,22.000000,1.004082,0.062755
le450_15c,0.019050,0.018850,32.000000,31.000000,0.989501,0.061844
queen16_16,0.013350,0.013200,22.000000,24.000000,0.988764,0.061798
queen8_12,0.007350,0.007250,15.000000,15.000000,0.986395,0.061650
