Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 13.05      0.03     0.03  3384973     0.00     0.00  std::__detail::_Hash_node<int, false>::_M_next() const
  8.70      0.05     0.02  2161529     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  4.35      0.06     0.01  5228729     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  4.35      0.07     0.01  2471400     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_node_allocator()
  4.35      0.08     0.01  2467802     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  4.35      0.09     0.01  2458840     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  4.35      0.10     0.01  2155229     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h1() const
  4.35      0.11     0.01  2003572     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_addr()
  4.35      0.12     0.01  1540529     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node<int, false> const*, unsigned long) const
  4.35      0.13     0.01   614700     0.00     0.00  std::__detail::_Hash_node<int, false>* std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_allocate_node<int const&>(int const&)
  4.35      0.14     0.01   614700     0.00     0.00  std::__detail::_Hash_node<int, false>* std::addressof<std::__detail::_Hash_node<int, false> >(std::__detail::_Hash_node<int, false>&)
  4.35      0.15     0.01   524287     0.00     0.00  void __gnu_cxx::new_allocator<std::pair<int, int> >::construct<std::pair<int, int>, std::pair<int, int> >(std::pair<int, int>*, std::pair<int, int>&&)
  4.35      0.16     0.01   524287     0.00     0.00  void std::__relocate_object_a<std::pair<int, int>, std::pair<int, int>, std::allocator<std::pair<int, int> > >(std::pair<int, int>*, std::pair<int, int>*, std::allocator<std::pair<int, int> >&)
  4.35      0.17     0.01   524287     0.00     0.00  std::remove_reference<std::pair<int, int>&>::type&& std::move<std::pair<int, int>&>(std::pair<int, int>&)
  4.35      0.18     0.01   307350     0.00     0.00  void std::allocator_traits<std::allocator<std::pair<int, int> > >::construct<std::pair<int, int>, int, int>(std::allocator<std::pair<int, int> >&, std::pair<int, int>*, int&&, int&&)
  4.35      0.19     0.01     6300     0.00     0.01  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_rehash_aux(unsigned long, std::integral_constant<bool, true>)
