graph,parallel_real_s_median,optim_greedy_real_s_median,parallel_colors_used,optim_greedy_colors_used,speedup,parallel_efficiency
DSJC125.1,0.017600,0.009500,8.000000,7.000000,0.539773,0.067472
DSJC125.5,0.020200,0.011700,26.000000,23.000000,0.579208,0.072401
DSJC125.9,0.025200,0.014100,55.000000,53.000000,0.559524,0.069941
easy-01,0.020800,0.010300,2.000000,2.000000,0.495192,0.061899
easy-02,0.016100,0.010000,3.000000,2.000000,0.621118,0.077640
easy-03,0.014400,0.009700,3.000000,3.000000,0.673611,0.084201
easy-04,0.016700,0.009500,4.000000,4.000000,0.568862,0.071108
easy-05,0.018900,0.009400,3.000000,3.000000,0.497354,0.062169
easy-06,0.015700,0.009100,3.000000,3.000000,0.579618,0.072452
ex-01,0.016300,0.009200,3.000000,2.000000,0.564417,0.070552
fpsol2.i.1,0.029600,0.016600,65.000000,65.000000,0.560811,0.070101
homer,0.018000,0.011400,14.000000,13.000000,0.633333,0.079167
inithx.i.1,0.032500,0.020100,54.000000,54.000000,0.618462,0.077308
latin_square_10,0.258000,0.185700,150.000000,213.000000,0.719767,0.089971
le450_15b,0.021500,0.014600,23.000000,18.000000,0.679070,0.084884
le450_15c,0.029800,0.019900,31.000000,26.000000,0.667785,0.083473
queen16_16,0.029900,0.017100,23.000000,27.000000,0.571906,0.071488
queen8_12,0.019300,0.010800,16.000000,15.000000,0.559585,0.069948
