graph,parallel_real_s_median,optim_greedy_real_s_median,parallel_colors_used,optim_greedy_colors_used,speedup,parallel_efficiency
DSJC125.1,0.017050,0.016700,9.000000,8.000000,0.979472,0.244868
DSJC125.5,0.019400,0.048600,27.000000,27.000000,2.505155,0.626289
DSJC125.9,0.050650,0.032800,54.000000,56.000000,0.647581,0.161895
easy-01,0.016200,0.023350,2.000000,2.000000,1.441358,0.360339
easy-02,0.016500,0.022500,3.000000,3.000000,1.363636,0.340909
easy-03,0.027000,0.015650,3.000000,3.000000,0.579630,0.144907
easy-04,0.017550,0.015950,4.000000,4.000000,0.908832,0.227208
easy-05,0.016850,0.041950,3.000000,4.000000,2.489614,0.622403
easy-06,0.032400,0.025500,3.000000,3.000000,0.787037,0.196759
ex-01,0.031100,0.021950,3.000000,3.000000,0.705788,0.176447
fpsol2.i.1,0.070250,0.092550,65.000000,65.000000,1.317438,0.329360
homer,0.080150,0.030850,16.000000,14.000000,0.384903,0.096226
inithx.i.1,0.046950,0.031650,54.000000,54.000000,0.674121,0.168530
latin_square_10,0.347300,0.303450,153.000000,157.000000,0.873740,0.218435
le450_15b,0.022900,0.024300,23.000000,22.000000,1.061135,0.265284
le450_15c,0.034650,0.028800,31.000000,33.000000,0.831169,0.207792
queen16_16,0.024600,0.026100,24.000000,23.000000,1.060976,0.265244
queen8_12,0.017300,0.017800,17.000000,15.000000,1.028902,0.257225
